,Unnamed: 0,NO,URL,タイトル,職務,スキル,勤務,職場,案件タイトル,案件URL,業務内容,キーワード,案件タイトル.1,月額報酬,職種,スキル・言語・FW,勤務日数詳細,勤務エリア（最寄り駅）,案件内容,職種.1,スキル・言語・FW.1,必須スキル,歓迎スキル,稼働日数,月額報酬.1,勤務エリア（最寄り駅）.1,雇用形態,備考,案件ID,案件内容.1
5316,5316,5317,https://lancersagent.com/project/marketer/00616427704013136e801c75,"注目【週3日･4日･5日/WEBマーケター】                                【マーケター】スポーツビジネス企業のメルマガ配信業務                            週3日･4日･5日 | 600,000〜750,000円 / 月WEBマーケター週3日･4日･5日新橋・銀座・東京（新橋駅）メルマガ配信業務を担っていただける方を募集いたします。■仕事内容メール配信業務Marketo、シナジーマーケティングを活用したコーディング業務（週4～5件、1件あたり3時間程度）■業務フロー→Marketo、シナジーマーケティングにて既存メールの複製及び新規作成→メール本文の入稿→クロスチェック→担当者にテストメール内容確認詳細を見る",WEBマーケター,,週3日･4日･5日,新橋・銀座・東京（新橋駅）,                【マーケター】スポーツビジネス企業のメルマガ配信業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/00616427704013136e801c75,"メルマガ配信業務を担っていただける方を募集いたします。

■仕事内容
メール配信業務
Marketo、シナジーマーケティングを活用したコーディング業務
（週4～5件、1件あたり3時間程度）

■業務フロー
→Marketo、シナジーマーケティングにて既存メールの複製及び新規作成
→メール本文の入稿
→クロスチェック
→担当者にテストメール内容確認/マーケター/コンテンツマーケ/新橋・銀座・東京",【週3日･4日･5日/】,【マーケター】スポーツビジネス企業のメルマガ配信業務,"600,000〜750,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBマーケター,,週3日･4日･5日,新橋・銀座・東京（新橋駅）,メルマガ配信業務を担っていただける方を募集いたします。■仕事内容メール配信業務Marketo、シナジーマーケティングを活用したコーディング業務（週4～5件、1件あたり3時間程度）■業務フロー→Marketo、シナジーマーケティングにて既存メールの複製及び新規作成→メール本文の入稿→クロスチェック→担当者にテストメール内容確認,WEBマーケター,,・Marketoもしくは、シナジーマーケティングを使用した実務経験,-,"週3日･4日･5日                            
(ﾘﾓｰﾄ：可)","600,000〜750,000円",新橋・銀座・東京（新橋駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006100405,
5581,5581,5582,https://lancersagent.com/project/marketer/0061639961744658414a81524,"【週5日/マーケター】                                【マーケター】大手キャリアでのデジタルマーケティング業務                            週5日 | 500,000〜600,000円 / 月マーケター週5日赤坂・永田町（五反田駅）【企業情報】私たちは、ブランド戦略立案、クリエイティブ制作、システム開発の３つのサービスを提供するマーケティング支援企業です。【案件概要】クライアントである大手キャリアにてクライアントが運営するWeb広告やWebサイト分析を中心としたデジタルマーケティング業務を実施していただきます。※詳細はご面談時にお話しいたします。詳細を見る",マーケター,,週5日,赤坂・永田町（五反田駅）,                【マーケター】大手キャリアでのデジタルマーケティング業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/0061639961744658414a81524,"【企業情報】
私たちは、ブランド戦略立案、クリエイティブ制作、
システム開発の３つのサービスを提供するマーケティング支援企業です。

【案件概要】
クライアントである大手キャリアにてクライアントが運営するWeb広告やWebサイト分析を
中心としたデジタルマーケティング業務を実施していただきます。
※詳細はご面談時にお話しいたします。/マーケター/その他/赤坂・永田町",【週5日/】,                        ※ 消費税別の実際にお渡しする金額です                    ,"500,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",マーケター,,週5日,赤坂・永田町（五反田駅）,【企業情報】私たちは、ブランド戦略立案、クリエイティブ制作、システム開発の３つのサービスを提供するマーケティング支援企業です。【案件概要】クライアントである大手キャリアにてクライアントが運営するWeb広告やWebサイト分析を中心としたデジタルマーケティング業務を実施していただきます。※詳細はご面談時にお話しいたします。,マーケター,,・Web広告の運用経験・GoogleアナリティクスおよびGoogleタグマネージャーを活用しWebサイト分析ができる・分析報告レポートなどのドキュメント作成能力,・顧客折衝のご経験・世の中のトレンドに敏感であること,"週5日                            
(ﾘﾓｰﾄ：一部可)","500,000〜600,000円",赤坂・永田町（五反田駅）,業務委託,※参考報酬額は週5日でご稼働いただいた場合の金額です,案件ID：000006099813,
5584,5584,5585,https://lancersagent.com/project/marketer/0061646275255920314a807f3,"【週5日/マーケター】                                【マーケター】大手キャリアでのデジタルマーケティング業務                            週5日 | 500,000〜600,000円 / 月マーケター週5日赤坂・永田町（五反田駅）【企業情報】私たちは、ブランド戦略立案、クリエイティブ制作、システム開発の３つのサービスを提供するマーケティング支援企業です。【案件概要】クライアントである大手キャリアにてクライアントが運営するWeb広告やWebサイト分析を中心としたデジタルマーケティング業務を実施していただきます。※詳細はご面談時にお話しいたします。詳細を見る",マーケター,,週5日,赤坂・永田町（五反田駅）,                【マーケター】大手キャリアでのデジタルマーケティング業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/0061646275255920314a807f3,"【企業情報】
私たちは、ブランド戦略立案、クリエイティブ制作、
システム開発の３つのサービスを提供するマーケティング支援企業です。

【案件概要】
クライアントである大手キャリアにてクライアントが運営するWeb広告やWebサイト分析を
中心としたデジタルマーケティング業務を実施していただきます。
※詳細はご面談時にお話しいたします。/マーケター/その他/赤坂・永田町",【週5日/】,                        ※ 消費税別の実際にお渡しする金額です                    ,"500,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",マーケター,,週5日,赤坂・永田町（五反田駅）,【企業情報】私たちは、ブランド戦略立案、クリエイティブ制作、システム開発の３つのサービスを提供するマーケティング支援企業です。【案件概要】クライアントである大手キャリアにてクライアントが運営するWeb広告やWebサイト分析を中心としたデジタルマーケティング業務を実施していただきます。※詳細はご面談時にお話しいたします。,マーケター,,・Web広告の運用経験・GoogleアナリティクスおよびGoogleタグマネージャーを活用しWebサイト分析ができる・分析報告レポートなどのドキュメント作成能力,・顧客折衝のご経験・世の中のトレンドに敏感であること,"週5日                            
(ﾘﾓｰﾄ：一部可)","500,000〜600,000円",赤坂・永田町（五反田駅）,業務委託,※参考報酬額は週5日でご稼働いただいた場合の金額です,案件ID：000006102659,
5611,5611,5612,https://lancersagent.com/project/marketer/006164067936259378d53c1d,"【週3日･4日･5日/WEBマーケター】                                【マーケター】最先端AIを活用した音声合成ソフトウェアにおけるWEBマーケティング業務                            週3日･4日･5日 | 600,000〜700,000円 / 月WEBマーケター‐週3日･4日･5日渋谷・新宿（新宿駅）【業務概要】最先端AIを活用した音声合成ソフトウェアの成長を急加速させるべく、 デジタルマーケティング、オフラインマーケティングを活用してリード獲得・エンゲージメントを高めていく業務を担っていただきます【業務内容】・マーケティングコミュニケーション戦略の企画と実行のマネジメント・リード獲得のトラッキング・コンテンツ企画、制作、編集、実行、分析（ウェブサイト、SNS、メルマガ等）.....詳細を見る",WEBマーケター,‐,週3日･4日･5日,渋谷・新宿（新宿駅）,                【マーケター】最先端AIを活用した音声合成ソフトウェアにおけるWEBマーケティング業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/006164067936259378d53c1d,"【業務概要】
最先端AIを活用した音声合成ソフトウェアの成長を急加速させるべく、 デジタルマーケティング、オフラインマーケティングを活用してリード獲得・エンゲージメントを高めていく業務を担っていただきます

【業務内容】
・マーケティングコミュニケーション戦略の企画と実行のマネジメント
・リード獲得のトラッキング
・コンテンツ企画、制作、編集、実行、分析（ウェブサイト、SNS、メルマガ等）.....
/マーケター/コンテンツマーケ/渋谷・新宿",【週3日･4日･5日/】,                        ※ 消費税別の実際にお渡しする金額です                    ,"600,000〜700,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBマーケター,,週3日･4日･5日,渋谷・新宿（新宿駅）,【業務概要】最先端AIを活用した音声合成ソフトウェアの成長を急加速させるべく、 デジタルマーケティング、オフラインマーケティングを活用してリード獲得・エンゲージメントを高めていく業務を担っていただきます【業務内容】・マーケティングコミュニケーション戦略の企画と実行のマネジメント・リード獲得のトラッキング・コンテンツ企画、制作、編集、実行、分析（ウェブサイト、SNS、メルマガ等）.....,WEBマーケター,‐,・BtoB デジタルマーケティング経験・メルマガや記事などの文章を用いたコンテンツ企画・制作・進行ご経験・基本的なビジネス英語,・制作物（Webサイト、LP、バナー、ホワイトペーパー等）の企画、制作進行経験・リード獲得のためのセミナーやイベントの企画・施策実行のご経験・SEO対策の戦略立案や運用のご経験・Google Analyticsなど分析ツールのご経験,"週3日･4日･5日                            
(ﾘﾓｰﾄ：相談可)","600,000〜700,000円",渋谷・新宿（新宿駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006099955,
5626,5626,5627,https://lancersagent.com/project/marketer/00616164852591835e8002a2,注目【週4日･5日/SEOマーケター】                                【MP】金融SEOメディアにおけるマーケティング・ディレクション業務                            週4日･5日 | 2.5〜3万円 / 日SEOマーケターHTML・CSS・JavaScript週4日･5日五反田・恵比寿・六本木（池尻大橋駅）金融SEOメディアにおける、SEO観点での記事の分析や集計、そのうち手としての記事リライトの実施、及びCVレートの改善を担っていただける方を募集しております。詳細を見る,SEOマーケター,HTML・CSS・JavaScript,週4日･5日,五反田・恵比寿・六本木（池尻大橋駅）,                【MP】金融SEOメディアにおけるマーケティング・ディレクション業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/00616164852591835e8002a2,"金融SEOメディアにおける、SEO観点での記事の分析や集計、そのうち手としての記事リライトの実施、及びCVレートの改善を担っていただける方を募集しております。
/マーケター/SEO/五反田・恵比寿・六本木",【週4日･5日/HTML・CSS・JavaScript】,【MP】金融SEOメディアにおけるマーケティング・ディレクション業務,2.5〜3万円/ 日※ 消費税別の実際にお渡しする金額です,SEOマーケター,HTML・CSS・JavaScript,週4日･5日,五反田・恵比寿・六本木（池尻大橋駅）,金融SEOメディアにおける、SEO観点での記事の分析や集計、そのうち手としての記事リライトの実施、及びCVレートの改善を担っていただける方を募集しております。,SEOマーケター,HTML・CSS・JavaScript,・SEOマーケティングの実務経験をお持ちの方,・Excel、スプレッドシートでの集計表作成・データ管理のご経験がある方・HTML、CSSの修正ができる方（ゼロから作れる必要はない）└ （例）表のデザイン変更／表の列の固定表示など・Javascriptの修正が可能な方・メディアのマネタイズ経験をお持ちの方・ライターの採用、記事執筆依頼、修正指示の経験がある方・金融業界での業務経験がある方・経済やビジネス、金融、投資に関する知識・興味がある方,"週4日･5日                            
(ﾘﾓｰﾄ：相談可)",2.5〜3万円,五反田・恵比寿・六本木（池尻大橋駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006098990,
5627,5627,5628,https://lancersagent.com/project/marketer/0061640246084414314a7f95d,"定番【週4日･5日/SNSマーケター】                                【マーケター】EC顧客層へのデジタルマーケティング支援におけるSNS広告運用                            週4日･5日 | 400,000〜550,000円 / 月SNSマーケター週4日･5日五反田・恵比寿・六本木（渋谷駅）弊社は複数の事業を開発し運営しているチームです。SNS広告事業、コンテンツマーケティング事業、越境コマース事業を展開しております。【案件概要】クライアントのフロント対応〜SNS広告運用業務業務をご担当いただきます。顧客層はEC｜月間予算規模数百万円〜数千万円詳細を見る",SNSマーケター,,週4日･5日,五反田・恵比寿・六本木（渋谷駅）,                【マーケター】EC顧客層へのデジタルマーケティング支援におけるSNS広告運用 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/0061640246084414314a7f95d,"弊社は複数の事業を開発し運営しているチームです。
SNS広告事業、コンテンツマーケティング事業、越境コマース事業を展開しております。

【案件概要】
クライアントのフロント対応〜SNS広告運用業務業務をご担当いただきます。
顧客層はEC｜月間予算規模数百万円〜数千万円/マーケター/SNS/五反田・恵比寿・六本木",【週4日･5日/】,【マーケター】EC顧客層へのデジタルマーケティング支援におけるSNS広告運用,"400,000〜550,000円/ 月※ 消費税別の実際にお渡しする金額です",SNSマーケター,,週4日･5日,五反田・恵比寿・六本木（渋谷駅）,弊社は複数の事業を開発し運営しているチームです。SNS広告事業、コンテンツマーケティング事業、越境コマース事業を展開しております。【案件概要】クライアントのフロント対応〜SNS広告運用業務業務をご担当いただきます。顧客層はEC｜月間予算規模数百万円〜数千万円,SNSマーケター,,・Facebook/Instagram/LINE広告の運用経験・デザイナーと連携してのクリエイティブ企画の経験・キャッチコピー制作の経験※広告バナー内キャッチコピー程度でOK,・代理店での業務経験,"週4日･5日                            
(ﾘﾓｰﾄ：可)","400,000〜550,000円",五反田・恵比寿・六本木（渋谷駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006099903,
5747,5747,5748,https://lancersagent.com/project/marketer/0061639961367621214a80485,"【週4日･5日/マーケター】                                【マーケター】大手キャリアでのオウンドメディアへの出稿調整業務                            週4日･5日 | 500,000〜600,000円 / 月マーケター週4日･5日赤坂・永田町（溜池山王）【企業情報】私たちは、ブランド戦略立案、クリエイティブ制作、システム開発の３つのサービスを提供するマーケティング支援企業です。【案件概要】クライアントである大手キャリアにてクライアントが運営するオウンドメディアへの出稿調整業務を実施していただきます。※詳細はご面談時にお話しいたします。詳細を見る",マーケター,,週4日･5日,赤坂・永田町（溜池山王）,                【マーケター】大手キャリアでのオウンドメディアへの出稿調整業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/0061639961367621214a80485,"【企業情報】
私たちは、ブランド戦略立案、クリエイティブ制作、
システム開発の３つのサービスを提供するマーケティング支援企業です。
【案件概要】
クライアントである大手キャリアにてクライアントが運営するオウンドメディアへの出稿調整業務を実施していただきます。
※詳細はご面談時にお話しいたします。/マーケター/その他/赤坂・永田町",【週4日･5日/】,                        ※ 消費税別の実際にお渡しする金額です                    ,"500,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",マーケター,,週4日･5日,赤坂・永田町（溜池山王）,【企業情報】私たちは、ブランド戦略立案、クリエイティブ制作、システム開発の３つのサービスを提供するマーケティング支援企業です。【案件概要】クライアントである大手キャリアにてクライアントが運営するオウンドメディアへの出稿調整業務を実施していただきます。※詳細はご面談時にお話しいたします。,マーケター,,・WEBプロモーションに関する知識及び経験・コミュニケーション力及び調整力・広告運用等の経験・レポート作成／説明・制作会社への指示出し,-,"週4日･5日                            
(ﾘﾓｰﾄ：一部可)","500,000〜600,000円",赤坂・永田町（溜池山王）,業務委託,※参考報酬額は週5日でご稼働いただいた場合の金額です,案件ID：000006099812,
5764,5764,5765,https://lancersagent.com/project/marketer/0061639446791219314a81269,"【週4日･5日/マーケター】                                【マーケター】大手キャリアでのデジタルマーケティング業務                            週4日･5日 | 500,000〜600,000円 / 月マーケター週4日･5日赤坂・永田町（五反田駅）【企業情報】私たちは、ブランド戦略立案、クリエイティブ制作、システム開発の３つのサービスを提供するマーケティング支援企業です。【案件概要】クライアントである大手キャリアにてクライアントが運営するWeb広告やWebサイト分析を中心としたデジタルマーケティング業務を実施していただきます。※詳細はご面談時にお話しいたします。詳細を見る",マーケター,,週4日･5日,赤坂・永田町（五反田駅）,                【マーケター】大手キャリアでのデジタルマーケティング業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/0061639446791219314a81269,"【企業情報】
私たちは、ブランド戦略立案、クリエイティブ制作、
システム開発の３つのサービスを提供するマーケティング支援企業です。

【案件概要】
クライアントである大手キャリアにてクライアントが運営するWeb広告やWebサイト分析を
中心としたデジタルマーケティング業務を実施していただきます。
※詳細はご面談時にお話しいたします。/マーケター/その他/赤坂・永田町",【週4日･5日/】,                        ※ 消費税別の実際にお渡しする金額です                    ,"500,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",マーケター,,週4日･5日,赤坂・永田町（五反田駅）,【企業情報】私たちは、ブランド戦略立案、クリエイティブ制作、システム開発の３つのサービスを提供するマーケティング支援企業です。【案件概要】クライアントである大手キャリアにてクライアントが運営するWeb広告やWebサイト分析を中心としたデジタルマーケティング業務を実施していただきます。※詳細はご面談時にお話しいたします。,マーケター,,・Web広告に関する知識・GTM及びGAの実装及び分析・レポート作成／説明,・BigQuery、GCPの知識・SQLでのデータ加工・結合・抽出,"週4日･5日                            
(ﾘﾓｰﾄ：相談可)","500,000〜600,000円",赤坂・永田町（五反田駅）,業務委託,※参考報酬額は週5日でご稼働いただいた場合の金額です,案件ID：000006099790,
5802,5802,5803,https://lancersagent.com/project/marketer/006160371321786414a81548,"注目【週4日･5日/マーケター】                                【デジタルマーケティング】自社化粧品の新ブランド立ち上げに関するマーケティング業務                            週4日･5日 | 400,000〜550,000円 / 月マーケター週4日･5日渋谷・新宿（高田馬場駅）自然派コスメECショップにおける、新規ユーザー獲得のためのWeb広告の戦略立案および運用などのWebマーケティング業務をお任せいたします。＜具体的な業務内容＞・Web広告のプランニング、運用、効果分析、改善・代理店等社外協力者との連携・メディア選定・出稿管理・予算管理、広告内容のディレクションなど詳細を見る",マーケター,,週4日･5日,渋谷・新宿（高田馬場駅）,                【デジタルマーケティング】自社化粧品の新ブランド立ち上げに関するマーケティング業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/006160371321786414a81548,"自然派コスメECショップにおける、新規ユーザー獲得のための
Web広告の戦略立案および運用などのWebマーケティング業務をお任せいたします。

＜具体的な業務内容＞
・Web広告のプランニング、運用、効果分析、改善
・代理店等社外協力者との連携
・メディア選定・出稿管理・予算管理、広告内容のディレクションなど/マーケター/リスティング/渋谷・新宿",【週4日･5日/】,【デジタルマーケティング】自社化粧品の新ブランド立ち上げに関するマーケティング業務,"400,000〜550,000円/ 月※ 消費税別の実際にお渡しする金額です",マーケター,,週4日･5日,渋谷・新宿（高田馬場駅）,自然派コスメECショップにおける、新規ユーザー獲得のためのWeb広告の戦略立案および運用などのWebマーケティング業務をお任せいたします。＜具体的な業務内容＞・Web広告のプランニング、運用、効果分析、改善・代理店等社外協力者との連携・メディア選定・出稿管理・予算管理、広告内容のディレクションなど,マーケター,,・WEBマーケティングの実務経験・Web広告(リスティング広告、アフィリエイト広告など)の複数の運用経験・運用予算規模が月間800万円以上の案件を扱ったご経験・マーケティング部門のリーダー経験,・女性向け商材の広告運用経験・新商品のマーケティング設計経験・マス媒体に対する知見,"週4日･5日                            
(ﾘﾓｰﾄ：一部可)","400,000〜550,000円",渋谷・新宿（高田馬場駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006098771,
5844,5844,5845,https://lancersagent.com/project/marketer/0061638427112667315e55516,定番【週5日/プロダクトマーケティングマネージャー】                                理学療法士の知見を元に立ち上げた介護/歩行×AIのプロダクトマーケティングマネージャー                            週5日 | 4〜5万円 / 日プロダクトマーケティングマネージャー週5日新橋・銀座・東京（汐留駅）弊社が開発した、スマホ一つで身体の動作分析ができるAIアプリのマーケティング、カスタマーサクセス、セールスに関わって頂きます。他社が提供するサービスのように大掛かりな施設や、設備は不要でどの施設にも必ずあるスマホ一台で測定が可能なプロダクトで既に200施設以上で使われています。（福祉用具のレンタル・販売のパイオニアであるヤマシタ社設立した事業会社の創業メンバーの一人として活躍頂ける方を探しております。）将来的には、アプリ詳細を見る,プロダクトマーケティングマネージャー,,週5日,新橋・銀座・東京（汐留駅）,                理学療法士の知見を元に立ち上げた介護/歩行×AIのプロダクトマーケティングマネージャー | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/0061638427112667315e55516,"弊社が開発した、スマホ一つで身体の動作分析ができるAIアプリのマーケティング、カスタマーサクセス、セールスに関わって頂きます。

他社が提供するサービスのように大掛かりな施設や、設備は不要でどの施設にも必ずあるスマホ一台で測定が可能なプロダクトで既に200施設以上で使われています。（福祉用具のレンタル・販売のパイオニアであるヤマシタ社設立した事業会社の創業メンバーの一人として活躍頂ける方を探しております。）

将来的には、アプリ/マーケター/その他/新橋・銀座・東京",【週5日/】,理学療法士の知見を元に立ち上げた介護/歩行×AIのプロダクトマーケティングマネージャー,4〜5万円/ 日※ 消費税別の実際にお渡しする金額です,プロダクトマーケティングマネージャー,,週5日,新橋・銀座・東京（汐留駅）,弊社が開発した、スマホ一つで身体の動作分析ができるAIアプリのマーケティング、カスタマーサクセス、セールスに関わって頂きます。他社が提供するサービスのように大掛かりな施設や、設備は不要でどの施設にも必ずあるスマホ一台で測定が可能なプロダクトで既に200施設以上で使われています。（福祉用具のレンタル・販売のパイオニアであるヤマシタ社設立した事業会社の創業メンバーの一人として活躍頂ける方を探しております。）将来的には、アプリ,プロダクトマーケティングマネージャー,,・プロダクトマーケティング、カスタマーサクセス、セールスいずれかのご経験,・SaaS、ITソリューション等での業務経験・IT × 介護、医療、福祉業界での就業経験・大学や大学院で上記分野の研究等を行っていた方,"週5日                            
(ﾘﾓｰﾄ：相談可)",4〜5万円,新橋・銀座・東京（汐留駅）,業務委託,-,案件ID：000006099717,
5960,5960,5961,https://lancersagent.com/project/marketer/0061637217710525314a7f736,"【週3日･4日･5日/マーケター】                                【マーケター】WEBマーケティング企業でのリスティング広告運用                            週3日･4日･5日 | 400,000〜700,000円 / 月マーケター週3日･4日･5日赤坂・永田町（溜池山王）【案件概要】現在、クライアントからの広告運用業務の受注が増えており、運用チームで稼働いただけるマーケターを募集しております。まだまだ小さい会社のため、チーム組成やフローの改善など率先して行っていただける方を歓迎しております。詳細を見る",マーケター,,週3日･4日･5日,赤坂・永田町（溜池山王）,                【マーケター】WEBマーケティング企業でのリスティング広告運用 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/0061637217710525314a7f736,"【案件概要】
現在、クライアントからの広告運用業務の受注が増えており、運用チームで稼働いただける
マーケターを募集しております。
まだまだ小さい会社のため、チーム組成やフローの改善など率先して行っていただける方を歓迎しております。
/マーケター/リスティング/赤坂・永田町",【週3日･4日･5日/】,                        ※ 消費税別の実際にお渡しする金額です                    ,"400,000〜700,000円/ 月※ 消費税別の実際にお渡しする金額です",マーケター,,週3日･4日･5日,赤坂・永田町（溜池山王）,【案件概要】現在、クライアントからの広告運用業務の受注が増えており、運用チームで稼働いただけるマーケターを募集しております。まだまだ小さい会社のため、チーム組成やフローの改善など率先して行っていただける方を歓迎しております。,マーケター,,・リスティング広告運用のご経験,・toBでの広告運用経験・運用フローの設計や改善のご経験,"週3日･4日･5日                            
(ﾘﾓｰﾄ：一部可)","400,000〜700,000円",赤坂・永田町（溜池山王）,業務委託,※参考報酬は週5日でご稼働いただいた場合の金額です。,案件ID：000006099596,
6017,6017,6018,https://lancersagent.com/project/marketer/00616370598347635e80129a,"注目【週4日･5日/WEBマーケター(デジタルマーケティング)】                                【マーケター】国内最大級の金融メディアにおけるデジタルマーケティング業務                            週4日･5日 | 500,000〜580,000円 / 月WEBマーケター(デジタルマーケティング)週4日･5日渋谷・新宿（池尻大橋駅）弊社のプラットフォームコンサルティング事業本部またはメディアプラットフォーム事業本部にて、デジタルマーケティング運用をご担当いただきます。配属部署は、ご本人の希望を参考に、スキルに応じて決定させていただきます。詳細を見る",WEBマーケター(デジタルマーケティング),,週4日･5日,渋谷・新宿（池尻大橋駅）,                【マーケター】国内最大級の金融メディアにおけるデジタルマーケティング業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/00616370598347635e80129a,"弊社のプラットフォームコンサルティング事業本部またはメディアプラットフォーム事業本部にて、デジタルマーケティング運用をご担当いただきます。

配属部署は、ご本人の希望を参考に、スキルに応じて決定させていただきます。/マーケター/その他/渋谷・新宿",【週4日･5日/】,【マーケター】国内最大級の金融メディアにおけるデジタルマーケティング業務,"500,000〜580,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBマーケター(デジタルマーケティング),,週4日･5日,渋谷・新宿（池尻大橋駅）,弊社のプラットフォームコンサルティング事業本部またはメディアプラットフォーム事業本部にて、デジタルマーケティング運用をご担当いただきます。配属部署は、ご本人の希望を参考に、スキルに応じて決定させていただきます。,WEBマーケター(デジタルマーケティング),,【①と②のポジション共通】・コミュニケーションが円滑な方・ユーザーおよびクライアントファーストで考えられる方・Excelまたはスプレッドシートでの集計表作成・データ管理のご経験がある方ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー【ポジション①】プラットフォームコンサルティング事業本部でのご稼働の場合・SNS広告運用のご経験ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー【ポジション②】メディアプラットフォーム事業本部でのご稼働の場合・SmartNewsやyahooニュースのポータルサイトからのトラフィック獲得経験がある方,・メールマーケティングの実務経験・SEOマーケティングの実務経験,"週4日･5日                            
(ﾘﾓｰﾄ：一部可)","500,000〜580,000円",渋谷・新宿（池尻大橋駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006099553,
