,Unnamed: 0,NO,URL,タイトル,職務,スキル,勤務,職場,案件タイトル,案件URL,業務内容,キーワード,案件タイトル.1,月額報酬,職種,スキル・言語・FW,勤務日数詳細,勤務エリア（最寄り駅）,案件内容,職種.1,スキル・言語・FW.1,必須スキル,歓迎スキル,稼働日数,月額報酬.1,勤務エリア（最寄り駅）.1,雇用形態,備考,案件ID,案件内容.1
6448,6448,6449,https://lancersagent.com/project/marketer/006162452912864938892edc,注目【週4日･5日/Webマーケター】                                【WEB】自社クラウド型オープンイノベーション支援サービスにおけるマーケティング業務                            週4日･5日 | 2.4万円以上 / 日Webマーケター週4日･5日五反田・恵比寿・六本木（中目黒駅）＜業務内容＞オープンイノベーション支援サービスのWebマーケティング業務全般に関わっていただきます。サービスの成長につながる有効な施策の企画及び実施までの幅広い業務をお任せしたいと思っています。<詳細>・UI/UX観点からWEBサイトの集客効率を高めるためのページ改善案の策定及びモニタリング・リード獲得広告のディレクション運用（リスティング、ディスプレイ広告など）・リード獲得のためのメールマガジン施策企画運用詳細を見る,Webマーケター,,週4日･5日,五反田・恵比寿・六本木（中目黒駅）,                【WEB】自社クラウド型オープンイノベーション支援サービスにおけるマーケティング業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/006162452912864938892edc,"＜業務内容＞
オープンイノベーション支援サービスのWebマーケティング業務全般に関わっていただきます。
サービスの成長につながる有効な施策の企画及び実施までの幅広い業務をお任せしたいと思っています。

&lt;詳細&gt;
・UI/UX観点からWEBサイトの集客効率を高めるためのページ改善案の策定及びモニタリング
・リード獲得広告のディレクション運用（リスティング、ディスプレイ広告など）
・リード獲得のためのメールマガジン施策企画運用/マーケター/その他/五反田・恵比寿・六本木",【週4日･5日/】,【WEB】自社クラウド型オープンイノベーション支援サービスにおけるマーケティング業務,2.4万円以上/ 日※ 消費税別の実際にお渡しする金額です,Webマーケター,,週4日･5日,五反田・恵比寿・六本木（中目黒駅）,＜業務内容＞オープンイノベーション支援サービスのWebマーケティング業務全般に関わっていただきます。サービスの成長につながる有効な施策の企画及び実施までの幅広い業務をお任せしたいと思っています。<詳細>・UI/UX観点からWEBサイトの集客効率を高めるためのページ改善案の策定及びモニタリング・リード獲得広告のディレクション運用（リスティング、ディスプレイ広告など）・リード獲得のためのメールマガジン施策企画運用,Webマーケター,,toB向けサービスのインハウスマーケティング担当、あるいはweb広告代理店勤務経験者で下記いずれかを満たす方・リスティング広告/アドネットワーク等の運用経験・WEBサイトの企画・運用経験・WEBサイト・WEB集客などの運用・解析経験・Google Analytics、Google Tag Managerの設計、利用経験,・Google data studioの設計、利用経験・SEO（内部/外部）施策の実務およびディレクション経験・外部ベンダーとの折衝経験・動画広告の運用経験,"週4日･5日                            
(ﾘﾓｰﾄ：可)",2.4万円以上,五反田・恵比寿・六本木（中目黒駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006099157,
6452,6452,6453,https://lancersagent.com/project/marketer/00616241157064847e801fde,"注目【週3日･4日･5日/MAマーケター(Salesforce)】                                【マーケター】育児メディアアプリのMA推進マーケター業務                            週3日･4日･5日 | 400,000〜800,000円 / 月MAマーケター(Salesforce)MarketingCloud・pardot週3日･4日･5日五反田・恵比寿・六本木（五反田駅）自社で運営する、妊娠子育てメディアアプリのマーケティング全般を担っていただける方を募集いたします。(具体的な仕事内容)・アプリ&メディアのユーザーデータ分析、マーケティング施策の考案および開発ディレクション・MAツール（Salesforce社MCクラウド利用）を使用したメルマガ数値分析、シナリオ・ジャーニーマップの作成詳細を見る",MAマーケター(Salesforce),MarketingCloud・pardot,週3日･4日･5日,五反田・恵比寿・六本木（五反田駅）,                【マーケター】育児メディアアプリのMA推進マーケター業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/00616241157064847e801fde,"自社で運営する、妊娠子育てメディアアプリのマーケティング全般を担っていただける方を募集いたします。

(具体的な仕事内容)
・アプリ&amp;メディアのユーザーデータ分析、マーケティング施策の考案および開発ディレクション
・MAツール（Salesforce社MCクラウド利用）を使用したメルマガ数値分析、シナリオ・ジャーニーマップの作成/マーケター/その他/五反田・恵比寿・六本木",【週3日･4日･5日/】,【マーケター】育児メディアアプリのMA推進マーケター業務,"400,000〜800,000円/ 月※ 消費税別の実際にお渡しする金額です",MAマーケター(Salesforce),,週3日･4日･5日,五反田・恵比寿・六本木（五反田駅）,自社で運営する、妊娠子育てメディアアプリのマーケティング全般を担っていただける方を募集いたします。(具体的な仕事内容)・アプリ&メディアのユーザーデータ分析、マーケティング施策の考案および開発ディレクション・MAツール（Salesforce社MCクラウド利用）を使用したメルマガ数値分析、シナリオ・ジャーニーマップの作成,MAマーケター(Salesforce),MarketingCloud・pardot,・SalesForce社の Marketing Cloud もしくは pardot の使用経験,-,"週3日･4日･5日                            
(ﾘﾓｰﾄ：可)","400,000〜800,000円",五反田・恵比寿・六本木（五反田駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006099148,
6467,6467,6468,https://lancersagent.com/project/marketer/0061623642903951415e571fa,"注目【週3日･4日･5日/Webマーケター】                                【マーケター】アドアフィリエイト運用におけるマーケター                            週3日･4日･5日 | 300,000〜800,000円 / 月Webマーケター週3日･4日･5日渋谷・新宿（渋谷駅）【募集背景】アドアフィリエイト事業(LPメディア事業) の立ち上げを検討しています。最初はマッチングアプリのアドアフィリエイト事業(LPメディア事業) から始めようと考えています。【業務内容】■アドアフィリエイト運用(LPメディア運用)マッチングアプリ領域でのアドアフィリエイト運用(LPメディア運用)になります。■記事LPの作成マッチングアプリ領域の比較記事作成になります詳細を見る",Webマーケター,,週3日･4日･5日,渋谷・新宿（渋谷駅）,                【マーケター】アドアフィリエイト運用におけるマーケター | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/0061623642903951415e571fa,"【募集背景】
アドアフィリエイト事業(LPメディア事業) の立ち上げを検討しています。
最初はマッチングアプリのアドアフィリエイト事業(LPメディア事業) から始めようと考えています。

【業務内容】
■アドアフィリエイト運用(LPメディア運用)
マッチングアプリ領域でのアドアフィリエイト運用(LPメディア運用)になります。

■記事LPの作成
マッチングアプリ領域の比較記事作成になります/マーケター/SEO/渋谷・新宿",【週3日･4日･5日/】,【マーケター】アドアフィリエイト運用におけるマーケター,"300,000〜800,000円/ 月※ 消費税別の実際にお渡しする金額です",Webマーケター,,週3日･4日･5日,渋谷・新宿（渋谷駅）,【募集背景】アドアフィリエイト事業(LPメディア事業) の立ち上げを検討しています。最初はマッチングアプリのアドアフィリエイト事業(LPメディア事業) から始めようと考えています。【業務内容】■アドアフィリエイト運用(LPメディア運用)マッチングアプリ領域でのアドアフィリエイト運用(LPメディア運用)になります。■記事LPの作成マッチングアプリ領域の比較記事作成になります,Webマーケター,,・何らかの領域のアドアフィリエイト(LPメディア)事業において、広告運用や記事作成を行い、成果を出したことがある,・マッチングアプリ領域のアドアフィリエイト(LPメディア)広告運用や記事作成を行ったことがある・ASPとの折衝経験やコネクションがある,"週3日･4日･5日                            
(ﾘﾓｰﾄ：可)","300,000〜800,000円",渋谷・新宿（渋谷駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006099130,
6539,6539,6540,https://lancersagent.com/project/marketer/006161943393715978892e48,"定番【週1日･2日･3日･4日/マーケター】                                自社AI語学学習サービスのマーケティング業務                            週1日･2日･3日･4日 | 500,000〜700,000円 / 月マーケター週1日･2日･3日･4日渋谷・新宿（青山一丁目）自社で開発しているAIを活用した語学学習サービスのマーケティングを担当していただける方を募集しています。マーケティングチームに参画いただきます。幅広く携わりたい方はぜひご応募ください。【勤務時間】9:00～18:00※相談可詳細を見る",マーケター,,週1日･2日･3日･4日,渋谷・新宿（青山一丁目）,                自社AI語学学習サービスのマーケティング業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/006161943393715978892e48,"自社で開発しているAIを活用した語学学習サービスのマーケティングを担当していただける方を募集しています。

マーケティングチームに参画いただきます。
幅広く携わりたい方はぜひご応募ください。

【勤務時間】
9:00～18:00※相談可/マーケター/その他/渋谷・新宿",【週1日･2日･3日･4日/】,自社AI語学学習サービスのマーケティング業務,"500,000〜700,000円/ 月※ 消費税別の実際にお渡しする金額です",マーケター,,週1日･2日･3日･4日,渋谷・新宿（青山一丁目）,自社で開発しているAIを活用した語学学習サービスのマーケティングを担当していただける方を募集しています。マーケティングチームに参画いただきます。幅広く携わりたい方はぜひご応募ください。【勤務時間】9:00～18:00※相談可,マーケター,,・自社マーケティング経験・CDP作成経験（データ周りを整備したご経験）,・サービス立ち上げに関わった経験,"週1日･2日･3日･4日                            
(ﾘﾓｰﾄ：可)","500,000〜700,000円",渋谷・新宿（青山一丁目）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006099044,
6613,6613,6614,https://lancersagent.com/project/marketer/006161494513749928d57a49,"【週3日･4日/グロースハッカー】                                【グロースハッカー】グローバルヘルスケア企業におけるBtoBグロースハック                            週3日･4日 | 500,000円以上 / 月グロースハッカーHTML・CSS・JavaScript週3日･4日新橋・銀座・東京（新橋駅）当社Webサイト配下における、CV向上（資料請求、ホワイトペーパー、セミナーなど）をご依頼したいです。最適なタイミングで最適なCVを実施したいです。オウンド・広告、そしてこちらのチームでコンテンツ制作も実施いたします。・Webデザイナー２名＋外部制作体制・制作ディレクター１名詳細を見る",グロースハッカー,HTML・CSS・JavaScript,週3日･4日,新橋・銀座・東京（新橋駅）,                【グロースハッカー】グローバルヘルスケア企業におけるBtoBグロースハック | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/006161494513749928d57a49,"当社Webサイト配下における、CV向上（資料請求、ホワイトペーパー、セミナーなど）をご依頼したいです。
最適なタイミングで最適なCVを実施したいです。
オウンド・広告、そしてこちらのチームでコンテンツ制作も実施いたします。

・Webデザイナー２名＋外部制作体制
・制作ディレクター１名/マーケター/その他/新橋・銀座・東京",【週3日･4日/HTML・CSS・JavaScript】,                        ※ 消費税別の実際にお渡しする金額です                    ,"500,000円以上/ 月※ 消費税別の実際にお渡しする金額です",グロースハッカー,HTML・CSS・JavaScript,週3日･4日,新橋・銀座・東京（新橋駅）,当社Webサイト配下における、CV向上（資料請求、ホワイトペーパー、セミナーなど）をご依頼したいです。最適なタイミングで最適なCVを実施したいです。オウンド・広告、そしてこちらのチームでコンテンツ制作も実施いたします。・Webデザイナー２名＋外部制作体制・制作ディレクター１名,グロースハッカー,HTML・CSS・JavaScript,・大手企業での業務経験（膨大なセッション数での業務）・A/Bテストの豊富な経験・分析業務経験,・Javascript等のコーディング経験・GTM設定,"週3日･4日                            
(ﾘﾓｰﾄ：可)","500,000円以上",新橋・銀座・東京（新橋駅）,業務委託,,案件ID：000006098967,
6686,6686,6687,https://lancersagent.com/project/marketer/0061612335799396914a80700,"【週3日･4日･5日/マーケター】                                【マーケター】自社ブランドであるドクターズコスメのECサイト運用業務                            週3日･4日･5日 | 400,000〜600,000円 / 月マーケター週3日･4日･5日渋谷・新宿（表参道）【案件概要】弊社WEBサイトにて運用をしているECサイトのマーケティング業務をお任せします。ECサイトの集客や購入に関する戦略の立案など全般をご担当いただきます。詳細を見る",マーケター,,週3日･4日･5日,渋谷・新宿（表参道）,                【マーケター】自社ブランドであるドクターズコスメのECサイト運用業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/0061612335799396914a80700,"【案件概要】
弊社WEBサイトにて運用をしているECサイトのマーケティング業務をお任せします。
ECサイトの集客や購入に関する戦略の立案など全般をご担当いただきます。/マーケター/ブランディング/渋谷・新宿",【週3日･4日･5日/】,                        ※ 消費税別の実際にお渡しする金額です                    ,"400,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",マーケター,,週3日･4日･5日,渋谷・新宿（表参道）,【案件概要】弊社WEBサイトにて運用をしているECサイトのマーケティング業務をお任せします。ECサイトの集客や購入に関する戦略の立案など全般をご担当いただきます。,マーケター,,・ECサイト周りのマーケティングのご経験・マーケターとして戦略立案から施策実行まで行ったご経験,・化粧品に興味をお持ちの方・化粧品や女性向け商品のマーケターとしてのご経験,"週3日･4日･5日                            
(ﾘﾓｰﾄ：相談可)","400,000〜600,000円",渋谷・新宿（表参道）,業務委託,※参考報酬は週5日でご稼働いただいた場合の金額です。,案件ID：000006098896,
6691,6691,6692,https://lancersagent.com/project/marketer/0061612232579933512164b86,"定番【週3日･4日･5日/広告運用マーケター】                                【マーケター】広告代理店にて広告運用設計や社内教育に携わるマーケター                            週3日･4日･5日 | 400,000〜600,000円 / 月広告運用マーケター週3日･4日･5日新橋・銀座・東京（日本橋駅）この度は、社内のノウハウ蓄積を目的として、運用設計からナレッジ共有、メンバーとの壁打ちをご担当いただけるマーケターを募集いたします。具体的な案件については面談時にすり合わせさせていただきますが、広告予算としてはMAX6000万円/月のものもあります。※業界は化粧品や健康食品などの有形商材が多いです詳細を見る",広告運用マーケター,,週3日･4日･5日,新橋・銀座・東京（日本橋駅）,                【マーケター】広告代理店にて広告運用設計や社内教育に携わるマーケター | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/0061612232579933512164b86,"この度は、社内のノウハウ蓄積を目的として、
運用設計からナレッジ共有、メンバーとの壁打ちをご担当いただける
マーケターを募集いたします。

具体的な案件については面談時にすり合わせさせていただきますが、
広告予算としてはMAX6000万円/月のものもあります。
※業界は化粧品や健康食品などの有形商材が多いです/マーケター/その他/新橋・銀座・東京",【週3日･4日･5日/】,【マーケター】広告代理店にて広告運用設計や社内教育に携わるマーケター,"400,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",広告運用マーケター,,週3日･4日･5日,新橋・銀座・東京（日本橋駅）,この度は、社内のノウハウ蓄積を目的として、運用設計からナレッジ共有、メンバーとの壁打ちをご担当いただけるマーケターを募集いたします。具体的な案件については面談時にすり合わせさせていただきますが、広告予算としてはMAX6000万円/月のものもあります。※業界は化粧品や健康食品などの有形商材が多いです,広告運用マーケター,,・WEB広告運用経験のある方（多くの媒体に出向されていると尚可）・メンバーへのナレッジ共有をしていただける方,,週3日･4日･5日,"400,000〜600,000円",新橋・銀座・東京（日本橋駅）,業務委託,,案件ID：000006098890,
6746,6746,6747,https://lancersagent.com/project/marketer/0061608518667759884dc832,"注目【週3日･4日･5日/マーケター】                                【マーケター】プロサッカーに関するデジタルマーケティング業務                            週3日･4日･5日 | 500,000〜600,000円 / 月マーケターTableauMarketoTreasuredataSalesForceGoogleAnalyticsGoogleApps全般Backlog週3日･4日･5日水道橋・飯田橋（--）デジタル領域での事業推進する業務全般を幅広く支援いただきます。特に...・リーグ主導で行う広告・販促キャンペーン系の戦術設計、運用/管理の実務、代理店・外部支援会社・制作会社との連携、各種レポーティング・リーグID会員増のための幅広いマーケティング施策の戦略・戦術設計と推進支援と実行業務詳細を見る",マーケター,TableauMarketoTreasuredataSalesForceGoogleAnalyticsGoogleApps全般Backlog,週3日･4日･5日,水道橋・飯田橋（--）,                【マーケター】プロサッカーに関するデジタルマーケティング業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/0061608518667759884dc832,"デジタル領域での事業推進する業務全般を幅広く支援いただきます。

特に...
・リーグ主導で行う広告・販促キャンペーン系の戦術設計、運用/管理の実務、代理店・外部支援会社・制作会社との連携、各種レポーティング

・リーグID会員増のための幅広いマーケティング施策の戦略・戦術設計と推進支援と実行業務/マーケター/その他/水道橋・飯田橋",【週3日･4日･5日/】,【マーケター】プロサッカーに関するデジタルマーケティング業務,"500,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",マーケター,,週3日･4日･5日,水道橋・飯田橋（--）,デジタル領域での事業推進する業務全般を幅広く支援いただきます。特に...・リーグ主導で行う広告・販促キャンペーン系の戦術設計、運用/管理の実務、代理店・外部支援会社・制作会社との連携、各種レポーティング・リーグID会員増のための幅広いマーケティング施策の戦略・戦術設計と推進支援と実行業務,マーケター,"Tableau
Marketo
Treasuredata
SalesForce
GoogleAnalytics
GoogleApps全般
Backlog",・BtoCオンラインサービス（Webメディア/自社サービス/自社プロダクト/製品）での、マーケティング関連業務経験5年以上（広告運用/キャンペーン企画・実施/グロースハック等）※自社サービスを持たない会社での経験でもよい。例えば広告代理店、Webコンサル系・KPI管理しての事業推進マネジメント経験（BIツール、スプレッドシート、エクセルなどにまとめて）・マーケター、デザイナー、エンジニア、ビジネスパートナー、クラブ担当者等の多様なステークホルダーとのコミュニケーションが円滑にできる。・サッカーに関心がある方,"・顧客管理やCRM活用の経験・ECサイトを中心としたWebサイトの事業責任者経験や主体者としてのグロースハック経験・TableauBIツールのシート作成・データソース管理等の経験・プロジェクトマネージャー経験・Webディレクター経験・一部ディレクション業務も発生するためマネジメント経験""","週3日･4日･5日                            
(ﾘﾓｰﾄ：一部可)","500,000〜600,000円",水道橋・飯田橋（--）,業務委託,,案件ID：000006098831,
6759,6759,6760,https://lancersagent.com/project/marketer/006160793189547578d5570c,"【週3日･4日/広告運用】                                【マーケター】WEBマーケティング支援会社での広告運用業務                            週3日･4日 | 450,000〜600,000円 / 月広告運用週3日･4日神奈川（溝の口駅）ビジネス／事業拡大を目的としたデジタルマーケティング支援を行う弊社にて広告運用業務をご担当いただきます＜業務内容＞・広告運用業務・レポーティング・クリエイティブのPDCA管理・業務委託メンバーのマネジメント・クライアントとの事務連絡詳細を見る",広告運用,,週3日･4日,神奈川（溝の口駅）,                【マーケター】WEBマーケティング支援会社での広告運用業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/006160793189547578d5570c,"ビジネス／事業拡大を目的としたデジタルマーケティング支援を行う弊社にて広告運用業務をご担当いただきます

＜業務内容＞
・広告運用業務
・レポーティング
・クリエイティブのPDCA管理
・業務委託メンバーのマネジメント
・クライアントとの事務連絡/マーケター/SEM/神奈川",【週3日･4日/】,                        ※ 消費税別の実際にお渡しする金額です                    ,"450,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",広告運用,,週3日･4日,神奈川（溝の口駅）,ビジネス／事業拡大を目的としたデジタルマーケティング支援を行う弊社にて広告運用業務をご担当いただきます＜業務内容＞・広告運用業務・レポーティング・クリエイティブのPDCA管理・業務委託メンバーのマネジメント・クライアントとの事務連絡,広告運用,,・広告代理店での広告運用経験のある方,・自社マーケティング施策に興味がある方・道徳心がある方、誠実な方,"週3日･4日                            
(ﾘﾓｰﾄ：一部可)","450,000〜600,000円",神奈川（溝の口駅）,業務委託,,案件ID：000006098825,
6837,6837,6838,https://lancersagent.com/project/marketer/006160258802514088892f44,"定番【週3日/データプランナー】                                【SQL】自社人材システムのデータ分析・プランニング業務                            週3日 | 600,000〜800,000円 / 月データプランナーPython・SQL・R・データ分析・統計解析・機械学習週3日渋谷・新宿（渋谷駅）自社HRマッチングサービスのデータ分析とプランニング・事業課題に対してデータの集計・可視化・課題提起・示唆抽出、経営層へのレポート／提言など・・【その他】リモート可10:00-19:00詳細を見る",データプランナー,Python・SQL・R・データ分析・統計解析・機械学習,週3日,渋谷・新宿（渋谷駅）,                【SQL】自社人材システムのデータ分析・プランニング業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/006160258802514088892f44,"自社HRマッチングサービスのデータ分析とプランニング

・事業課題に対してデータの集計・可視化
・課題提起・示唆抽出、経営層へのレポート／提言など・・

【その他】
リモート可
10:00-19:00/マーケター/その他/渋谷・新宿",【週3日/Python・SQL・R】,【SQL】自社人材システムのデータ分析・プランニング業務,"600,000〜800,000円/ 月※ 消費税別の実際にお渡しする金額です",データプランナー,Python・SQL・R,週3日,渋谷・新宿（渋谷駅）,自社HRマッチングサービスのデータ分析とプランニング・事業課題に対してデータの集計・可視化・課題提起・示唆抽出、経営層へのレポート／提言など・・【その他】リモート可10:00-19:00,データプランナー,Python・SQL・R・データ分析・統計解析・機械学習,・ビジネスにおいて、データ分析によって課題を解決した経験・統計解析や機械学習に関する基礎的な知識・ビジネス上の課題を解決するための問題解決能力、論理的思考力・SQLを利用したデータ分析の経験,・コンサルティングファームまたは事業会社のデータ分析チームにおける実務経験・統計解析や機械学習に関する専門的な知識および実ビジネスに活かした経験・関係部署と連携してスムーズに業務を進めるためのコミュニケーション能力・R、Pythonなどのツール（いずれかで可）を利用したデータ分析の経験,"週3日                            
(ﾘﾓｰﾄ：相談可)","600,000〜800,000円",渋谷・新宿（渋谷駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006098758,
6927,6927,6928,https://lancersagent.com/project/marketer/00615923065460683f2a554a,"注目【週3日･4日･5日/MA運用担当】                                【Marketo】会計ソフト運営企業のマーケティングチームにおけるMAツール運用業務                            週3日･4日･5日 | 200,000〜400,000円 / 月MA運用担当Marketo週3日･4日･5日品川（五反田） - マーケティングオートメーションであるMarketoを駆使して、メディアにおけるリード獲得最大化に向けてオペレーションを担当 - 社内で発生するメール配信などの運用業務を担当詳細を見る",MA運用担当,Marketo,週3日･4日･5日,品川（五反田）,                【Marketo】会計ソフト運営企業のマーケティングチームにおけるMAツール運用業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/00615923065460683f2a554a,"- マーケティングオートメーションであるMarketoを駆使して、メディアにおけるリード獲得最大化に向けてオペレーションを担当

 - 社内で発生するメール配信などの運用業務を担当
/マーケター/SEO/品川",【週3日･4日･5日/】,【Marketo】会計ソフト運営企業のマーケティングチームにおけるMAツール運用業務,"200,000〜400,000円/ 月※ 消費税別の実際にお渡しする金額です",MA運用担当,,週3日･4日･5日,品川（五反田）,- マーケティングオートメーションであるMarketoを駆使して、メディアにおけるリード獲得最大化に向けてオペレーションを担当- 社内で発生するメール配信などの運用業務を担当,MA運用担当,Marketo,・MAの運用経験（Marketoが理想）・コミュニケーション能力,・マーケティングにおけるフローの理解・マーケティングにおけるキャンペーン設計の理解・セールスフォースの知識・メールライティング・CDP/DMPの運用経験・KARTEなどの接客ツールの運用経験,週3日･4日･5日,"200,000〜400,000円",品川（五反田）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006098641,
7105,7105,7106,https://lancersagent.com/project/marketer/0060I00000fHLFxQAO,"注目【週2日･3日/WEBマーケター(データ分析)】                                【マーケター】某電子情報機器メーカーの顧客データの集計・解析業務                            週2日･3日 | 600,000円以上 / 月WEBマーケター(データ分析)Adobe・Analytics・データ収集・JavaScript週2日･3日渋谷・新宿（初台駅）コンシューマ製品から企業向け製品をグローバルに展開しております。今回は各国の顧客データをマネジメントし、マーケティングの課題を分析いただけるマーケターの方を募集いたします。詳細を見る",WEBマーケター(データ分析),Adobe・Analytics・データ収集・JavaScript,週2日･3日,渋谷・新宿（初台駅）,                【マーケター】某電子情報機器メーカーの顧客データの集計・解析業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/0060I00000fHLFxQAO,"コンシューマ製品から企業向け製品をグローバルに展開しております。

今回は各国の顧客データをマネジメントし、マーケティングの課題を分析いただけるマーケターの方を募集いたします。/マーケター/その他/渋谷・新宿",【週2日･3日/】,【マーケター】某電子情報機器メーカーの顧客データの集計・解析業務,"600,000円以上/ 月※ 消費税別の実際にお渡しする金額です",WEBマーケター(データ分析),,週2日･3日,渋谷・新宿（初台駅）,コンシューマ製品から企業向け製品をグローバルに展開しております。今回は各国の顧客データをマネジメントし、マーケティングの課題を分析いただけるマーケターの方を募集いたします。,WEBマーケター(データ分析),Adobe・Analytics・データ収集・JavaScript,・Adobe Analyticsのご経験・アナリティクスの設計・実装経験・データ収集の設定業務のご認識・ご経験のある方・JavaScriptが書ける方,-,"週2日･3日                            
(ﾘﾓｰﾄ：相談可)","600,000円以上",渋谷・新宿（初台駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006098449,
7169,7169,7170,https://lancersagent.com/project/marketer/0061598941878921613e9b012,"注目【週3日･4日/マーケター】                                【マーケター】To B 向けのマーケ戦略の立案                            週3日･4日 | 500,000〜1,000,000円 / 月マーケター週3日･4日新橋・銀座・東京（溜池山王駅）【業務内容】To B 向けのマーケ戦略の立案、一部実行・一緒にマーケティング戦略の検討や実行を併走しながらお手伝いいただける方（実行はこちらで動くことが多くなる想定ですが、一部お願いする部分もあると思います）・恐らく最初はどうリードを獲得するか、どうナーチャリングするか、　そして、可能であれば、どうインサイドセールスするか、を話せると嬉しいです。・ちなみに、弊社はマーケティングにこれまで注力出来ていないので、詳細を見る",マーケター,,週3日･4日,新橋・銀座・東京（溜池山王駅）,                【マーケター】To B 向けのマーケ戦略の立案 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/0061598941878921613e9b012,"【業務内容】
To B 向けのマーケ戦略の立案、一部実行

・一緒にマーケティング戦略の検討や実行を併走しながらお手伝いいただける方
（実行はこちらで動くことが多くなる想定ですが、一部お願いする部分もあると思います）
・恐らく最初はどうリードを獲得するか、どうナーチャリングするか、
　そして、可能であれば、どうインサイドセールスするか、を話せると嬉しいです。
・ちなみに、弊社はマーケティングにこれまで注力出来ていないので、/マーケター/その他/新橋・銀座・東京",【週3日･4日/】,【マーケター】To B 向けのマーケ戦略の立案,"500,000〜1,000,000円/ 月※ 消費税別の実際にお渡しする金額です",マーケター,,週3日･4日,新橋・銀座・東京（溜池山王駅）,【業務内容】To B 向けのマーケ戦略の立案、一部実行・一緒にマーケティング戦略の検討や実行を併走しながらお手伝いいただける方（実行はこちらで動くことが多くなる想定ですが、一部お願いする部分もあると思います）・恐らく最初はどうリードを獲得するか、どうナーチャリングするか、そして、可能であれば、どうインサイドセールスするか、を話せると嬉しいです。・ちなみに、弊社はマーケティングにこれまで注力出来ていないので、,マーケター,,・社会人経験3年以上・オンライン、オフラインのToBマーケティング実務経験3年以上お持ちの方もしくは、3年未満でも大きな成果を残している方・プロモーション設計と準備、実行を独力で行える方,"・対象顧客が1,000以内の業界でのTo B マーケティング経験・インサイドセールス強化の経験・フィールド、カスタマーサクセスの経験・仮説思考が得意な方","週3日･4日                            
(ﾘﾓｰﾄ：相談可)","500,000〜1,000,000円",新橋・銀座・東京（溜池山王駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006098722,
7685,7685,7686,https://lancersagent.com/project/marketer/0060I00000TLNCxQAP,"定番【週5日/広告マーケター/ディレクション】                                【マーケター】大手広告代理店内にて広告マーケターおよびディレクション業務                            週5日 | 600,000〜1,000,000円 / 月広告マーケター/ディレクション週5日五反田・恵比寿・六本木（赤坂見附駅）広告マーケター、ディレクション経験者を募集しています。リスティングLP、バナー広告、SNS、アフィリエイトなどを活用して広告効果の最大化を図る為の企画立案とプロジェクト推進をしていただきます。詳細を見る",広告マーケター/ディレクション,,週5日,五反田・恵比寿・六本木（赤坂見附駅）,                【マーケター】大手広告代理店内にて広告マーケターおよびディレクション業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/0060I00000TLNCxQAP,"広告マーケター、ディレクション経験者を募集しています。
リスティングLP、バナー広告、SNS、アフィリエイトなどを活用して広告効果の最大化を図る為の企画立案とプロジェクト推進をしていただきます。/マーケター/その他/五反田・恵比寿・六本木",【週5日/】,【マーケター】大手広告代理店内にて広告マーケターおよびディレクション業務,"600,000〜1,000,000円/ 月※ 消費税別の実際にお渡しする金額です",広告マーケター/ディレクション,,週5日,五反田・恵比寿・六本木（赤坂見附駅）,広告マーケター、ディレクション経験者を募集しています。リスティングLP、バナー広告、SNS、アフィリエイトなどを活用して広告効果の最大化を図る為の企画立案とプロジェクト推進をしていただきます。,広告マーケター/ディレクション,,広告マーケター経験ディレクション経験（ディレクター）,広告代理店経験者LPやバナー広告制作、運用の経験,"週5日                            
(ﾘﾓｰﾄ：一部可)","600,000〜1,000,000円",五反田・恵比寿・六本木（赤坂見附駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006097768,
